ISim log file
Running: D:\ZEYNEP\Okul\ceng232\hw4\testbench_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/ZEYNEP/Okul/ceng232/hw4/testbench_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.

TIME	PUMPS	?GAS	?DSL	N-GAS	N-DSL	F-GAS	F-DSL	INV-GAS	INV-DSL	INV-STP

T: 1	000000	1	1	15	15	255	255	0	0	0

T: 10	111110	1	1	 0	 0	  0	  0	0	0	0

T: 20	111110	1	1	 0	 0	  0	  0	1	0	0

T: 30	011110	1	1	 0	 0	  3	  0	0	0	0

T: 40	011010	1	1	 0	 0	  2	  4	0	0	0

T: 50	011000	1	1	 0	 0	  1	 11	0	0	0

T: 60	101000	1	1	 0	 0	  5	  9	0	0	0

T: 70	001000	1	1	 0	 0	 11	  7	0	0	0

T: 80	001100	1	1	 0	 1	  9	  6	0	0	0

T: 90	001000	1	1	 0	 1	  7	 13	0	0	0

T: 100	001100	1	1	 0	 2	  5	 19	0	0	0

T: 110	011000	1	1	 0	 2	  3	 25	0	0	0

T: 120	011000	1	1	 0	 3	  2	 29	0	0	0

T: 130	011010	1	1	 0	 4	  1	 32	0	0	0

T: 140	111000	1	1	 0	 4	  0	 35	0	0	0

T: 150	111000	1	1	 0	 5	  0	 36	0	0	0

T: 160	111000	1	1	 0	 6	  0	 42	0	0	0

T: 170	111000	1	1	 0	 7	  0	 47	0	0	0

T: 180	111000	1	0	 0	 8	  0	 51	0	0	0

T: 190	111100	1	0	 0	 8	  0	 49	0	1	0

T: 200	111000	1	0	 0	 8	  0	 52	0	0	0

T: 210	011000	1	0	 0	 8	  8	 50	0	0	0

T: 220	001010	1	0	 0	 8	 15	 48	0	0	0

T: 230	000000	1	1	 0	 7	 20	 47	0	0	0

T: 240	000000	1	1	 1	 7	 23	 45	0	0	0

T: 250	000000	1	1	 2	 7	 25	 43	0	0	0

T: 260	000000	1	1	 3	 7	 26	 41	0	0	0

T: 270	000100	1	1	 4	 7	 26	 39	0	0	0

T: 280	000000	1	1	 5	 6	 25	 38	0	0	0

T: 290	100010	1	1	 5	 6	 22	 36	0	0	0

T: 300	011000	1	1	 4	 5	 20	 35	0	0	0

T: 310	000000	1	1	 2	 5	 19	 33	0	0	0

T: 320	000000	1	1	 2	 5	 16	 31	0	0	0

T: 330	000100	1	1	 2	 5	 13	 29	0	0	0

T: 340	000100	1	1	 2	 5	 13	 29	0	0	1

T: 350	000010	1	1	 2	 4	 10	 28	0	0	0

T: 360	001000	1	1	 2	 3	  7	 27	0	0	0

T: 370	110000	1	1	 1	 3	  5	 25	0	0	0

T: 380	010100	1	1	 0	 3	  4	 23	0	0	0

T: 390	010000	1	1	 0	 2	  2	 22	0	0	0

T: 400	111000	1	1	 0	 2	  0	 20	0	0	0

T: 410	111000	1	1	 0	 2	  0	 18	0	0	0

T: 420	111000	1	1	 0	 2	  0	 16	0	0	0

T: 430	111000	1	1	 0	 2	  0	 14	0	0	0

T: 440	111010	1	1	 0	 2	  0	 12	0	0	0

T: 450	111000	1	1	 0	 1	  0	 11	0	0	0

T: 460	111100	1	1	 0	 1	  0	  9	0	0	0

T: 470	111000	1	1	 0	 0	  0	  8	0	0	0

T: 480	111000	1	1	 0	 0	  0	  6	0	0	0

T: 490	111000	1	1	 0	 0	  0	  4	0	0	0

T: 500	111000	1	1	 0	 0	  0	  2	0	0	0

T: 510	111110	1	1	 0	 0	  0	  0	0	0	0

Stopped at time : 841 ns : File "D:/ZEYNEP/Okul/ceng232/hw4/testbench.v" Line 207
